comision_entrante,iniciativa,estado_actual,id_proyecto,titulo,fecha_radicacion
Comision Segunda de Camara de Representantes,Legislativa,Retirado por el Autor,7721,Por la cual se declara el dia 27 de abril de los annos venideros el Dia Nacional de la Musica Vallenata. [Dia Nacional de la Musica Vallenata],2014-07-28
Comision Sexta de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7720,Por medio de la cual se establece el programa de bicicletas escolares y se dictan otras disposiciones. [Bicicletas escolares],2014-07-28
Comision Cuarta de Camara de Representantes,Legislativa,Retirado por el Autor,7723,por medio de la cual se declara Monumento Nacional al Templo de Nuestra Sennora del Rosario del municipio de Rio de Oro|| departamento del Cesar. [Declara Monumento Nacional al Templo de Nuestra Sennora del Rosario de Rio de Oro|| Cesar],2014-07-28
Comision Sexta de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7718,Por medio de la cual se dictan lineamientos basicos para prevenir la contaminacion electromagnetica de radiaciones no ionizantes y se dictan otras disposiciones. [Prevencion de contaminacion electromagnetica],2014-07-28
Comision Quinta de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7734,Por medio de la cual se crea la Comision Asesora del Ministerio de Agricultura y Desarrollo Rural|| para la industria alimentaria nacional y se dictan otras disposiciones. [Comision Asesora para la industria alimentaria],2014-07-29
Comision Primera de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7735,Por medio de la cual se reforma el Codigo Electoral|| la Ley 1437 de 2011|| la Ley 996 de 2005 y la Ley 130 de 1994 y se dictan otras disposiciones. [Reforma electoral],2014-07-29
Comision Cuarta de Camara de Representantes/Comision Tercera de Camara de Representantes/Comision Cuarta de Senado/Comision Tercera de Senado,Gubernamental,Sancionado como Ley,7688,Por la cual se decreta el Presupuesto de Rentas y Recursos de Capital y Ley de Apropiaciones para la vigencia fiscal del 1° de enero al 31 de diciembre de 2015. [Presupuesto general de la Nacion 2015],2014-07-29
Comision Primera de Senado,Legislativa,Archivado por Transito de Legislatura,7674,Por medio de la cual se incrementan las sanciones penales contra la corrupcion electoral y se dictan otras disposiciones. [Corrupcion electoral],2014-07-29
Comision Primera de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7739,Por medio de la cual se prohibe la contratacion por minima cuantia en los contratos de consultoria|| se adiciona un paragrafo al articulo 66 del Decreto 1510 de 2013|| y se dictan otras disposiciones. [Contratacion minima cuantia],2014-07-30
Comision Primera de Senado,Legislativa,Acumulado,7701,Por la cual se desarrolla el numeral 6 del articulo 277 de la Constitucion Politica|| relacionado con el poder disciplinario de la Procuraduria General de la Nacion|| se modifica la Ley 734 de 2002 y se dictan otras disposiciones. [Poder disciplinario de la Procuraduria],2014-07-30
Comision Septima de Senado,Legislativa,Retirado por el Autor,7697,Por medio del cual se articulan las estrategias de lucha contra la pobreza extrema. [Lucha contra la pobreza extrema],2014-07-30
Comision Sexta de Senado,Legislativa,Archivado por Transito de Legislatura,7700,Por la cual se establece la ensennanza de educacion economica y financiera en la educacion basica y media en Colombia. [Catedra de educacion financiera],2014-07-30
Comision Primera de Senado,Legislativa,Archivado por Vencimiento de Terminos,7707,Por el cual se establece el derecho fundamental a una alimentacion adecuada. [Derecho a la alimentacion],2014-07-30
Comision Primera de Senado,Legislativa,Acumulado,7706,Por medio del cual se modifican los articulos 233|| 249|| 254|| 267 y 276 de la Constitucion Politica. [Inhabilidades cargos altas dignidades],2014-07-30
Comision Quinta de Senado,Legislativa,Archivado por Transito de Legislatura,7694,Por medio de la cual se declara patrimonio ambiental y ecologico el complejo de humedales del valle de Ubate|| se establece la comision intersectorial para su proteccion y conservacion y se dictan otras disposiciones. [Valle de Ubate como patrimonio Ambiental y Ecologico],2014-07-30
Comision Septima de Senado,Legislativa,Archivado en Debate,7687,Por la cual se estatuyen las vacaciones individuales de la rama judicial. [Vacaciones individuales Rama Judicial],2014-07-30
Comision Septima de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7737,"Por medio de la cual se modifica y se introducen nuevas disposiciones a la Ley 181 de enero 18 de 1995 sobre fomento del deporte|| la recreacion|| el aprovechamiento del tiempo libre y la educacion fisica, se crea el Sistema Nacional del Deporte. [Sistema Nacional del Deporte]",2014-07-30
Comision Primera de Senado,Legislativa,Archivado por Transito de Legislatura,7685,Por la cual se establecen disposiciones para la participacion en remates judiciales. [Remates judiciales],2014-07-30
Comision Sexta de Senado,Legislativa,Archivado por Transito de Legislatura,7698,Por el cual se crea la campanna nacional de alfabetizacion digital y se modifica el articulo 97 de la Ley 115 de 1994. [Alfabetizacion digital],2014-07-30
Comision Primera de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7738,Por medio de la cual se fortalecen las funciones de la Comision de Derechos Humanos y Audiencias|| se modifican los articulos 57 y 192 de la Ley 5ª de 1992|| y se dictan otras disposiciones. [Funciones de la Comision de Derechos Humanos y Audiencias],2014-07-30
Comision Septima de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7741,Por medio de la cual se modifica el articulo 14 de la Ley 80 de 1993|| se establecen clausulas exorbitantes en los contratos de aportes|| y se dictan otras disposiciones. [Clausulas exorbitantes en los contratos de aportes],2014-07-30
Comision Primera de Camara de Representantes,Legislativa,Acumulado,7736,Por medio de la cual se declara al municipio Santiago de Cali Distrito Especial de Servicios|| Turistico y Deportivo de Colombia. [Cali como Distrito Especial],2014-07-30
Comision Tercera de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7742,Por medio de la cual se crea un incentivo tributario para aquellos pequennos y medianos establecimientos de alojamiento y hospedaje|| que se certifiquen en calidad turistica y se dictan otras disposiciones. [Incentivos tributarios turisticos],2014-07-30
Comision Primera de Senado,Legislativa,Archivado por Transito de Legislatura,7699,Por la cual se modifican el Codigo Penal|| el Codigo de la Infancia y la Adolescencia y la Ley de Servicios Publicos Domiciliarios con el fin de proteger la vida e integridad fisica de las personas en relacion con la proteccion del equipamiento de los servicios publicos domiciliarios y del espacio publico. [Proteccion frente a dannos en la infraestructura publica],2014-07-30
Comision Quinta de Senado,Legislativa,Archivado en Debate,7693,Por medio de la cual se regula las pasivos ambientales|| y se dictan otras disposiciones. [Pasivo ambiental],2014-07-30
Comision Quinta de Senado,Legislativa,Archivado por Transito de Legislatura,7690,Por medio de la cual se autoriza y se promueve el uso|| la produccion e importacion del gas licuado del petroleo (GLP) con destino a carburacion en motores de combustion interna en general|| transporte automotor y otros usos alternativos y se aprueban otras disposiciones complementarias. [Importacion gas licuado de petroleo],2014-07-30
Comision Quinta de Senado,Legislativa,Archivado por Transito de Legislatura,7696,Por la cual se dictan normas para la conservacion de ecosistemas de paramos y humedales. [Conservacion paramos y humedales],2014-07-30
Comision Primera de Senado,Legislativa,Archivado por Transito de Legislatura,7686,Por medio de la cual se reglamenta la participacion en politica de los servidores publicos|| de conformidad con el articulo 127 de la Constitucion Politica de Colombia|| y se dictan otras disposiciones. [Participacion politica de servidores publicos],2014-07-30
Comision Septima de Senado,Legislativa,Archivado por Transito de Legislatura,7684,Por la cual se fija la cotizacion en salud de los pensionados con menos de seis (6) salarios minimos legales mensuales. [Cotizacion en salud pensionados],2014-07-30
Comision Sexta de Senado,Legislativa,Aprobado Informe de Objeciones,7691,Por medio de la cual se regula la creacion del Consejo Profesional de Administracion Ambiental Copaam|| se dicta el Codigo Disciplinario Profesional del Administrador Ambiental y se dictan otras disposiciones. [Consejo Profesional de Administracion Ambiental|| Copaam],2014-07-30
Comision Septima de Senado,Legislativa,Acumulado,7692,Por medio de la cual se elimina la multiple contribucion en seguridad social en los contratos de prestacion de servicios profesionales y se dictan otras disposiciones. [Seguridad social contratistas],2014-07-30
